label_id,avg_red,avg_green,avg_blue
0,195,170,145
1,184,159,132
2,187,160,135
3,162,132,103
4,183,158,135
5,161,153,124
6,166,148,120
7,101,104,75
8,65,72,45
9,117,111,102
10,37,48,42
11,148,146,140
12,183,172,144
13,130,113,80
14,150,122,89
15,79,86,52
16,160,137,107
17,190,165,142
18,168,136,108
19,180,146,118
20,179,151,123
21,165,132,99
22,214,185,170
23,177,147,121
24,194,163,140
25,174,149,120
26,182,151,122
27,196,169,141
28,122,111,80
29,125,110,81
30,166,145,117
31,125,115,84
32,244,239,237
33,218,205,209
34,191,183,180
35,122,112,107
36,208,202,198
37,186,184,186
38,192,189,192
39,193,175,168
40,144,135,134
41,242,238,237
42,204,181,180
43,170,166,169
44,96,96,84
45,218,214,214
46,134,127,123
47,216,217,216
48,218,212,213
49,123,123,114
50,120,121,155
51,88,99,75
52,231,224,219
53,225,206,184
54,145,134,105
55,158,145,123
56,110,95,69
57,197,161,146
58,199,160,148
59,242,206,192
60,181,144,126
61,170,148,123
62,219,194,176
63,182,141,115
64,250,221,202
65,171,139,112
66,244,226,209
67,236,214,196
68,173,150,114
69,192,173,157
70,167,133,118
71,200,183,184
72,150,118,97
73,193,176,167
74,235,232,231
75,96,94,89
76,240,238,237
77,164,141,127
78,190,173,163
79,143,143,134
80,209,202,199
81,101,98,88
82,86,87,70
83,119,116,96
84,203,198,185
85,172,155,131
86,180,160,132
87,160,131,99
88,204,204,211
89,167,149,134
90,204,171,151
91,176,141,116
92,226,193,169
93,189,159,138
94,231,226,225
95,154,148,145
96,155,150,128
97,90,87,97
98,245,219,204
99,209,192,189
100,202,173,149
101,98,91,88
102,229,224,226
103,213,208,206
104,205,178,158
105,121,113,111
106,166,129,105
107,233,229,228
108,239,238,236
109,132,124,118
110,140,121,87
111,240,211,190
112,94,91,85
113,107,108,76
114,196,185,181
115,202,189,175
116,113,111,100
117,231,203,186
118,106,103,96
119,142,124,103
120,166,151,119
121,228,221,222
122,156,153,164
123,148,140,140
124,146,125,96
125,148,114,87
126,144,138,125
127,203,187,189
128,131,117,87
129,159,140,104
130,197,175,155
131,227,213,203
132,238,225,205
133,175,167,166
134,144,130,95
135,152,139,114
136,105,101,99
137,70,75,65
138,190,163,150
139,206,188,172
140,122,121,118
141,196,179,170
142,161,136,110
143,150,127,95
144,153,128,110
145,210,201,201
146,147,137,139
147,166,159,160
148,161,154,152
149,129,124,95
150,170,154,128
151,84,88,77
152,197,164,137
153,187,165,144
154,229,209,204
155,244,242,242
156,135,125,118
157,163,157,154
158,171,166,161
159,166,161,131
160,193,174,151
161,146,139,151
162,203,176,150
163,161,145,118
164,236,224,220
165,225,220,219
166,225,223,223
167,118,116,78
168,122,110,110
169,143,145,137
170,194,188,187
171,128,127,118
172,222,192,167
173,153,149,142
174,186,172,156
175,156,144,120
176,77,77,67
177,217,202,194
178,147,140,141
179,245,243,244
180,247,221,201
181,147,119,88
182,247,242,241
183,186,166,145
184,188,169,162
185,110,98,101
186,173,138,112
187,210,189,184
188,235,214,193
189,218,188,161
190,136,119,128
191,168,156,133
192,253,245,235
193,214,179,157
194,248,241,229
195,129,113,77
196,182,167,148
197,153,135,101
198,239,237,236
199,189,186,184
200,162,133,102
201,179,162,150
202,138,129,93
203,170,138,109
204,170,151,145
205,213,183,162
206,238,215,195
207,175,164,172
208,194,176,173
209,126,116,96
210,203,177,153
211,207,197,199
212,172,153,138
213,248,245,245
214,65,72,38
215,162,132,137
216,216,201,179
217,205,200,201
218,168,144,117
219,145,132,107
220,205,200,205
221,222,203,185
222,152,138,107
223,150,139,106
224,195,181,180
225,208,182,161
226,198,178,155
227,157,135,107
228,215,183,160
229,218,203,180
230,195,187,190
231,213,185,163
232,227,206,188
233,100,92,92
234,99,92,92
235,146,143,136
236,158,150,145
237,88,90,79
238,170,146,118
239,172,151,140
240,159,142,108
241,106,99,74
242,182,145,123
243,168,143,116
244,244,230,214
245,187,173,145
246,226,223,222
247,153,146,145
248,150,132,133
249,222,197,178
250,183,164,157
251,239,238,237
252,106,101,103
253,140,130,97
254,186,162,147
255,181,151,125
256,168,141,129
257,139,114,81
258,163,129,99
259,154,141,147
260,171,163,163
261,110,82,85
262,232,219,216
263,139,134,103
264,182,155,128
265,161,150,108
266,238,236,236
267,142,124,115
268,173,162,143
269,194,189,194
270,207,186,169
271,233,232,231
272,182,157,131
273,192,170,162
274,91,107,65
275,178,146,118
276,244,243,241
277,169,138,111
278,170,150,144
279,150,135,108
280,148,153,147
281,101,109,144
282,153,144,117
283,158,138,125
284,205,183,159
285,150,143,131
286,140,132,105
287,121,104,107
288,229,223,222
289,141,139,137
290,162,154,121
291,205,184,168
292,201,192,186
293,202,187,160
294,183,178,176
295,94,93,86
296,218,189,174
297,146,124,93
298,243,242,241
299,201,176,156
300,150,122,109
301,158,145,112
302,223,190,165
303,157,136,107
