label_id,avg_red,avg_green,avg_blue
0,76,118,158
1,85,111,133
2,61,83,72
3,154,165,169
4,137,154,156
5,254,254,254
6,190,197,201
7,138,147,159
8,198,205,209
9,75,93,89
10,100,117,114
11,67,81,80
12,53,72,49
13,184,189,196
14,81,91,92
15,169,179,187
16,227,227,232
17,202,208,215
18,160,166,171
19,157,163,174
20,90,106,103
21,209,209,216
22,222,222,226
23,168,176,182
24,100,107,114
25,130,145,149
26,254,254,254
27,158,169,180
28,118,132,138
29,147,155,165
30,122,131,136
31,147,165,166
32,130,136,143
33,201,205,208
34,243,245,246
35,134,142,148
36,142,152,155
37,237,235,237
38,92,126,161
39,98,111,112
40,80,94,102
41,121,135,145
42,93,103,120
43,168,176,180
44,91,104,106
45,84,100,88
46,101,111,113
47,195,195,201
48,155,161,162
49,238,237,242
50,80,108,132
51,140,155,157
52,191,184,179
53,252,252,253
54,128,135,142
55,207,218,224
56,87,104,109
57,194,194,201
58,135,147,147
59,243,242,244
60,195,194,202
61,88,104,107
62,115,130,136
63,193,193,198
64,98,116,115
65,171,177,185
66,192,197,205
67,218,221,225
68,240,243,247
69,116,127,129
70,186,192,193
71,174,180,185
72,212,217,221
73,177,182,186
74,121,129,132
75,112,117,122
76,215,222,223
77,176,184,188
78,98,115,122
79,218,215,214
80,191,188,196
81,219,215,221
82,114,121,122
83,126,133,141
84,86,116,143
85,122,123,126
86,138,144,155
87,179,176,177
88,182,178,169
89,169,166,175
90,129,133,137
91,200,198,195
92,202,203,207
93,220,217,222
94,168,161,153
95,143,148,152
96,105,109,112
97,130,131,139
98,240,236,239
99,205,206,204
100,155,154,159
101,137,141,131
102,191,195,197
103,138,135,137
104,114,119,124
105,201,196,196
106,200,195,188
107,225,219,224
108,203,203,205
109,217,211,214
110,159,161,159
111,159,161,153
112,188,191,192
113,186,182,178
114,68,82,98
115,198,194,200
116,186,179,179
117,214,205,199
118,150,145,138
119,118,119,129
120,109,115,121
121,158,153,139
122,142,141,151
123,156,151,141
124,141,135,127
125,239,244,248
126,145,141,137
127,139,143,143
128,154,155,153
129,109,113,121
130,160,161,157
131,164,156,152
132,159,159,154
133,171,167,156
134,237,232,235
135,98,124,160
136,72,101,120
137,48,64,63
138,55,79,60
139,85,97,101
140,62,78,72
141,229,229,232
142,128,134,139
143,204,201,209
144,169,175,176
145,226,230,232
146,91,110,98
147,108,119,111
148,67,85,106
149,238,236,239
150,84,104,98
151,97,110,114
152,146,144,150
153,67,80,75
154,215,207,213
155,94,108,114
156,153,151,159
157,201,204,209
158,143,138,144
159,96,100,111
160,194,190,173
161,125,137,152
162,89,110,117
163,167,168,172
164,134,154,171
165,65,92,94
166,149,156,152
167,114,120,127
168,94,123,144
169,162,158,146
170,186,181,183
171,63,76,87
172,62,81,72
173,139,136,137
174,161,161,172
175,118,128,130
176,132,140,153
177,216,219,227
178,85,107,106
179,43,65,51
180,90,123,144
181,110,111,117
182,135,142,155
183,105,118,126
184,120,133,142
185,179,175,185
186,68,98,111
187,88,96,90
188,209,200,199
189,91,98,101
190,133,141,150
191,148,138,137
192,72,121,160
193,33,53,38
194,118,123,124
195,45,72,79
196,216,214,216
197,189,172,161
198,98,116,116
199,92,107,118
200,167,175,183
201,120,127,139
202,227,226,230
203,166,171,165
204,191,190,191
205,70,89,84
206,53,69,68
207,250,251,251
208,117,130,136
209,63,79,91
210,98,112,118
211,105,113,125
212,98,112,125
213,157,159,163
214,227,225,228
215,107,129,132
216,131,135,139
217,60,80,79
218,86,127,166
219,85,96,100
220,46,75,68
221,33,52,57
222,197,206,214
223,234,233,233
224,110,123,130
225,201,196,197
226,188,192,198
227,150,149,149
228,80,93,98
229,198,206,214
230,131,138,148
231,65,98,79
232,145,150,154
233,208,218,226
234,220,230,239
235,115,126,136
236,133,147,157
237,101,111,116
238,181,173,164
239,177,189,198
240,47,65,54
241,121,131,135
242,160,165,172
243,137,137,145
244,84,104,118
245,140,136,140
246,165,174,181
247,42,70,78
248,143,148,157
249,176,177,179
250,138,156,163
251,57,75,73
252,123,139,150
253,168,173,180
254,89,99,106
255,146,158,166
256,212,214,219
257,150,145,149
258,96,110,116
259,161,169,179
260,167,181,189
261,168,186,198
262,78,95,99
263,148,153,158
264,140,146,152
265,167,169,170
266,146,151,160
267,114,131,139
268,100,118,118
269,195,199,203
270,130,138,143
271,42,72,91
272,67,84,94
273,69,84,83
274,99,114,118
275,40,58,53
276,143,156,159
277,139,158,166
278,83,101,115
279,181,192,200
280,98,112,112
