label_id,avg_red,avg_green,avg_blue,class_name
0,195,170,145,"sand"
1,184,159,132,"sand"
2,187,160,135,"sand"
3,162,132,103,"sand"
4,183,158,135,"sand"
5,161,153,124,"sand"
6,166,148,120,"sand"
7,101,104,75,"grass"
8,65,72,45,"grass"
10,37,48,42,"wood"
15,79,86,52,"grass"
16,160,137,107,"sand"
17,190,165,142,"sand"
19,180,146,118,"sand"
20,179,151,123,"sand"
21,165,132,99,"sand"
22,214,185,170,"sand"
23,177,147,121,"sand"
24,194,163,140,"sand"
31,125,115,84,"sand"
32,244,239,237,"white sand"
37,186,184,186,"white sand"
39,193,175,168,"white sand"
41,242,238,237,"white sand"
43,170,166,169,"white sand"
44,96,96,84,"wood"
45,218,214,214,"white sand"
47,216,217,216,"white sand"
48,218,212,213,"white sand"
49,123,123,114,"wood"
50,120,121,155,"river"
51,88,99,75,"wood"
52,231,224,219,"white sand"
53,225,206,184,"white sand"
57,197,161,146,"sand"
59,242,206,192,"white sand"
64,250,221,202,"white sand"
65,171,139,112,"sand"
66,244,226,209,"white sand"
67,236,214,196,"white sand"
68,173,150,114,"sand"
90,204,171,151,"sand"
100,202,173,149,"sand"
