label_id,avg_red,avg_green,avg_blue,class_name
0,196,170,145,"sand"
1,184,159,132,"sand"
2,187,160,135,"sand"
3,162,132,103,"sand"
7,166,147,119,"sand"
9,100,104,74,"grass"
14,33,40,32,"wood"
18,134,115,82,"sand"
19,141,117,82,"sand"
21,74,83,50,"grass"
24,204,171,151,"sand"
44,190,190,187,"white sand"
53,64,69,59,"wood"
56,206,188,172,"white sand"
59,150,127,95,"sand"
108,194,173,148,"sand"
117,96,100,66,"grass"
118,159,142,108,"sand"
142,153,144,117,"sand"
143,208,186,161,"sand"
153,146,124,93,"sand"
156,251,251,250,"white sand"
159,192,197,193,"white sand"
195,189,169,146,"sand"
207,39,48,36,"wood"
220,117,116,85,"grass"
236,251,250,249,"white sand"
238,36,44,34,"wood"
280,199,182,160,"sand"
290,40,51,38,"wood"
311,158,132,103,"sand"
326,147,129,102,"sand"
372,158,126,95,"sand"
435,40,56,39,"wood"
442,46,60,44,"wood"
459,192,169,154,"sand"
524,47,57,43,"wood"
583,144,130,104,"sand"
589,214,200,187,"sand"
640,251,251,250,"white sand"
691,25,42,39,"river"
703,107,105,75,"grass"
705,200,178,158,"sand"
782,41,61,41,"wood"
824,123,111,84,"grass"
829,177,157,138,"sand"
884,48,67,52,"wood"
897,82,93,58,"grass"
954,231,230,232,"white sand"
984,43,62,43,"wood"
987,41,60,41,"wood"
1085,76,91,54,"grass"
1087,42,60,45,"wood"
1126,50,70,57,"wood"
1163,117,118,118,"sand"
1225,96,93,65,"grass"
0,195,170,145,"sand"
1,184,159,132,"sand"
2,187,160,135,"sand"
3,162,132,103,"sand"
4,183,158,135,"sand"
5,161,153,124,"sand"
6,166,148,120,"sand"
7,101,104,75,"grass"
8,65,72,45,"grass"
10,37,48,42,"wood"
15,79,86,52,"grass"
16,160,137,107,"sand"
17,190,165,142,"sand"
19,180,146,118,"sand"
20,179,151,123,"sand"
21,165,132,99,"sand"
22,214,185,170,"sand"
23,177,147,121,"sand"
24,194,163,140,"sand"
31,125,115,84,"sand"
32,244,239,237,"white sand"
37,186,184,186,"white sand"
39,193,175,168,"white sand"
41,242,238,237,"white sand"
43,170,166,169,"white sand"
44,96,96,84,"wood"
45,218,214,214,"white sand"
47,216,217,216,"white sand"
48,218,212,213,"white sand"
49,123,123,114,"wood"
50,120,121,155,"river"
51,88,99,75,"wood"
52,231,224,219,"white sand"
53,225,206,184,"white sand"
57,197,161,146,"sand"
59,242,206,192,"white sand"
64,250,221,202,"white sand"
65,171,139,112,"sand"
66,244,226,209,"white sand"
67,236,214,196,"white sand"
68,173,150,114,"sand"
90,204,171,151,"sand"
100,202,173,149,"sand"
108,104,110,147,"river"
8,41,82,120,"river"
85,33,54,84,"river"
9,71,121,162,"river"
13,81,123,163,"river"
2,81,119,160,"river"
2717,73,110,149,"river"
0,75,106,146,"river"
1,70,106,146,"river"
12,102,118,157,"river"
6,67,99,141,"river"
0,96,116,156,"river"
0,76,118,158,"river"
